Fon_Sentence,French_Translation
vɛ̆la ɔ́ sínsín kɔ́n nyì távo ɔ jí,la bougie a coulé sur la table
gbade ɖiɖa,maïs bouilli
aziin ɖiɖa,arachides bouillies et salées
kpé kókó nú vì ɔ́,donne la bouillie à boire à l'enfant
a na jó sin ɔ dó b'ɛ́ ná hùn agbăn nukúnxwíxwé wŏ,tu feras bouillir l'eau dix minutes
e hwɛ́n tówúntówún,ca bout à gros bouillon
sin ɔ kó fyɛ́ à,l'eau a-t-elle commencé à bouillir
e hwɛ́n tówúntówún,ca bout à gros bouillons
wɔxuxumɛtɔ ɔ ɖo wɔxuxu ɖo wɔxuxumɛnu mɛ,la boulangère a des pains dans le four
xo tɔn mɛ nɔ fyɔ́,il était tout bouleversé
yĕ xo hun bɔ̀ axi ɔ wɔ́ bɔ̀ mɛ bì gbá dó,ils se sont battus et le marché a été bouleversé et tout le monde s'est dispersé
xó é ɖɔ́ ɔ́ é zɛ̀ hùn nú mì,ce qu'il a dit m'a bouleversé
e nɔ́ xò jɔ̆bù,il fait des petits boulots
e kì wèmá ɔ́ dó gbà ɔ́ mɛ̀,il a bourré le livre dans la caisse
wùtú cé lí,mon corps est boursouflé
e nɔ xo zɔ̀n dó mí ɖ'azɔ̌ kɔ̀n ă,on ne me bouscule pas quand je travaille
é yà glŏ mì,il m'a bousculé
alɔvinu,le bout du doigt
é cí tó kpoɖokpóɖó,il reste tout à fait au bout
káká yì,jusqu'au bout
mɛ e ɖò tó lé jí,celui qui est au bout
nù gbɛ́ dó mì,je suis à bout
e sɔ́ go ɔ́ ny'àyĭ,il a laissé tomber la bouteille
kabi nu vi ɔ hɛn vɛra gba mɔ kabi e hɛn go j'ayi,ou bien si l'enfant casse un verre pareillement ou s'il tient une bouteille et la fait tomber
sɔ́ go ɔ kpé ta dò,mets la bouteille à l'envers
sú gò ɔ́,bouche la bouteille
un nɔ sa nu ɖayi ɖo azɔxwe elɔ ă,je ne vendais pas dans cette boutique
ɖɛ̀tá cé nɔ́ sɛ́n,j'ai des boutons sur la langue
nù tɔ́n dó wŭ cè,j'ai des boutons sur le corps
wùtú cé bì zún gŏ,je suis couvert de boutons
un ɖò gbo do nú awu ce wɛ̀,je boutonne mon habit
é ci akunna,il a tout boycotté
zokán sísɛ́ ɖè sɔ́ kpó ɖò adoglwe ce mɛ̀ ă,il n'a plus de braise ardente dans mon foyer
e gbò dĕkpà ɔ́,il a coupé les branches du palmier
kpɔ́n kpɔ̀n élɔ́ nú,regarde sur cette branche
xɔ ɔ ɖo lilɔn wɛ gbɔn atin la atin la ji,l'agouti saute de branche en branche
e vlɔ́n awà,il a déplié les bras
é ɖò sɛmɛ́ti dán d'é wú wɛ̀,il brasse du ciment
é hɔ́n wun bo ɖɔ̀ xó,il a parlé en bravant tout le monde
un zé alɔ nú wè,bravo
un tuùn lɛngbɔ cé lɛ́ bɔ̀ lɛngbɔ́ cé lɛ́ tuun mì,je connais mes brebis et mes brebis me connaissent
gbò dó glí tɛ̀n,sois bref
nŭ akpé wɛ̀,c'est un objet brillant
ahun ɔ ɖo zo kɛn wɛ do zunkan ɔ ji,la rosée brillait sur l'herbe
é nɔ́ kɔ́n mlamlà,cela brille avec éclat
fiɖe a na nɔ ta zo ɖe zanmɛ tɛgbɛ ɔ,là où tu brilleras toutes les nuits
hwezivɔ́ hùn,le soleil brille
siká nɔ́ kɛ̀n,l'or brille
un na cyán nùyɔ́ywɛ́,je vais aller chercher des brindilles expression employée par les jumeaux ou leur mère pour éviter de dire
azɔmɛ mitɔn ɔ klo bo ɖo xɔ ɖagbe ɖee ye gba kpodo bliki kpo ɔ,notre école est un grand et beau bâtiment dont les murs sont en briques
zɛn gbigba nyɔ ɖɛkpɛ,le vase brisé était beau
e gba kɔta kpodo alin kpo,il brise les mottes avec la houe
johɔn sin dindin hɛn ala lɛ wɛn,les rafales de vent ont brisé les branches
anny ɖo nu kiko kplɔn wɛ,annie apprend à broder
ko avɔ,broder une étoffe
kɛkɛvi lɛ gɔ kpodo beton kpo,les brouettes sont remplies de béton
amu sú,il y a du brouillard
e hɛn xó ɔ́ wlú,il a brouillé le propos
un nɔ mɔ̀ nɔ̀ví cé gbɔ̀ ă,je suis brouillé avec mon frère
yè wúlú,ils se sont brouillés
é dó gbĕ zò,il a mis le feu à la broussaille
e bú ɖò nùkánmɛ̀,il s'est égaré dans la brousse
lan fan ɖò gbĕ mɛ̀,une bête a crié dans la brousse
un sɔ́ xò gle cè gbèɖé ă lobɔ̀ é húzú adlɔ̆ ɖokpó ɖo tè,je n'ai plus jamais débroussé mon champ et il s'est transformé en une grande brousse
un xo zùn ɖaxó,j'ai débroussé une grande brousse
sɔ lɔ ama ɖu wɛ,le cheval broute l'herbe
ahŭn ɖò funfun wɛ̀,il bruine
fo ɖo gbigba wɛ̀,il bruine
jĭ ɖè atán,il bruine
jĭ fùn,il a bruiné
afɔ ce wɛ́n kpawùn,ma jambe s'est cassée avec bruit
e ɖò zìngbídí ɖú wɛ̀,cela fait du bruit
é gbà ta dó dò wú giwùn,il a cogné la tête contre le mur avec bruit
e yakikì bo hɔn yì,il s'est levé avec bruit et s'est sauvé
un sè mɔ̆to towe gbè,j'ai entendu le bruit de ta voiture
ye ɖo zingidi ɔ se wɛ,ils entendent le bruit
hwezivɔ glaglá,soleil brûlant
wùtú ce hun zò,mon corps est brûlant
hwezivɔ mɛ mi,je suis brûlé par le soleil
nùsúnnú ɔ́ fyɔ́,la sauce est brûlée
a ko dó gle towe zo à,as-tu brûlé ton champ
a na dó wemá lɛ́ zò,tu brûleras des papiers
akpa ce nɔ ji zò,ma plaie me brûle
amasin élɔ́ nɔ́ fyɔ́ ɖ'akpa ce mɛ̀,ce médicament brûle dans ma plaie
é dó myɔmyɔ mì,il m'a brûlé
e mɛ lan mɛ n'i,cela l'a brûlé dans son être insulte
hwezivɔ do zo zunkan gle lɛ mɛ tɔn,le soleil a brûlé l'herbe des champs
un ji myɔ̀ dó alɔ̀,je me suis brûlé à la main
xwé ɔ́ jí kɛ̀n,la maison a cessé de brûler
é blɛ́ yɛ mì,j'ai vu brusquement quelque chose
é ɖó hun tè glí,il a arrêté la voiture brusquement
é ɖò hŭn tè haà,il a arrêté le véhicule brusquement
é gbà tomɛ nú mì yawùn,il m'a giflé brusquement
e hàn'ɖǔ mì hawùn,il m'a mordu brusquement
é hɛ́n mì hawùn,il m'a saisi brusquement
e húzú xasawùn,il a changé brusquement
é lɔ́n jlawùn bo hɔ̀n,il a bondi brusquement et s'est sauvé
e n'abɔ̀ xwíwún,il s'est tu brusquement
e xò agbăsa ɔ zlɛ́ vawùn,il a traversé brusquement la route
é zùn alɔ̀ d'áfin mɛ̀,il est mort brusquement
kú wá xo e sɔ́ vawùn,la mort est venue le prendre brusquement
xó ɖɔ́ wɛ́ jɛ́n mĭ ɖe kpowùn bɔ̀ é gba tómɛ́ nú mí xéwún bó hɔ̀n,nous étions seulement en train de parler et il m'a donné brusquement une gifle et s'est enfui
adan xo,parole brutale
e jɔ gbɛtɔ́ ă,il est brutal
wudida adan tɔn,un geste brutal
a nɔ bló nŭ gidigidì,tu agis brutalement
mi ma nyányá mɛɖé ó,ne brutalisez personne
kpákpá ɔ́ xò awa vava bo yì,le canard a battu des ailes bruyamment et est parti
atingbotɔ ɔ ɖo goxɔ gba wɛ,le bûcheron construit une hutte
atingbomɛ enɛ ɔ hwlɛn do jisin,ce buisson l'a protégée de la pluie
hun ɖevo na sun ɖo ceju ko mɛ,le prochain bus est dans vingt minutes
mì dó agwé we nú yĕ,nous leur avons marqué deux buts
un klɛ́n afɔ̀ dó awìnyá wú bó j'àyĭ,j'ai buté contre une pierre et je suis tombé
caá é ná mɔ́ mí dó fún nukúnmɛ́ ná din,ah ça il me la paiera tout de suite
e cí lĕe,c'est comme ça
e ɖò yiyi wɛ̀ ganjí à,est-ce que ça va bien
e jɔ̀ mɔ̆,il est comme ça
e nɔ ɖɔ mɔ,on dit ça
e nyɔ,ça va
enɛ ɔ gudo,c'est ça
enɛ,c'est ça
kpɔ́n nù yɛ́,regarde moi ça en parlant avec mépris d'une personne abomey
mɔ̀ w'ɛ́ ɖè,c'est comme ça
nu tɛ a lin ɖe wu,que penses-tu de ça
un ɖo ganji,ça va bien
un ɖò kɛ́n ɖokpó agɔnkɛ́tín ɖɔ́hùn,je suis comme ci comme ça
yĕ ɖù mɔ̌ mɔ̌,ils ont mangé comme ça telle qu'était la nourriture
un xwè nùkánmɛ̀,je vais aux cabinets
un ɖè gbɔ̆,j'ai acheté un cabri pour l'élever
vì ɔ́ ɖo gbigba wɛ̀,l'enfant fait caca au moment où la dentition veut sortir
azinzɔnnɔ ɔ hwla,le malade se cache
azwi ɖo hwihwla ɖo atinsomɛ,le lapin se cache dans le buisson
e gbò kwɛ́ ɔ́ hwlá,il a pris une partie de l'argent et l'a caché
é sɔ́ avɔ ɔ hwlá,il a caché le pagne
é sɔ́ wèmá tɔ̀,il a caché le livre
e tɔ dó è,il s'est caché de lui
é yí zé éɖéé hwlá,il est allé se cacher
fítɛ́ é bú dó wé ɖè,où est-ce que c'est caché
kponɔ lɛ hwla bo na ɖo wli ajotɔ lɛ,les gendarmes se cachent pour arrêter les voleurs
sɔ́́ wemá élɔ́ sɛ xwè,cache ce livre
vi ɔ hwla ɖo zan ɔ gwlɛ,l'enfant est caché sous le lit
é ɖò fí hwláhwlá,il est ici en cachette
é gbò sosí,il a mangé en cachette
fí tɛ́ é nɔ́ hwlá nù tɔ́n lɛ́ dó,où est sa cachette
yè nɔ́ kplé yèɖéé bó nɔ́ ɖɔ xó xísíxísí,ils se rassemblent pour parler en cachette
cyɔ́ kó yì aklɔn mɛ̀ ă,le cadavre n'est pas encore mis au tombeau
ðò natáa hwenu ɔ́ e nɔ kàn agban nú xɔ́ntɔn vì kpó àsi kpán,a noël on fait des cadeaux aux amis aux enfants et aux femmes
e ná nŭ mì,il m'a fait cadeau
kú d'akwɛ́,merci pour le cadeau
un ɖo na xɔ ajɔ nu vi ce,je dois acheter un cadeau pour mon fils
nɔví é jɛ̀ nɛgbé cé ɔ́,mon frère cadet
kafe wɛ,c'est du café
kinikini ɔ ɖo aja mɛ,le lion vit dans une cage
mi nɔ wlibo nu wema mitɔn,nous soignons notre cahier
e nyi hwan nyidò,il a lancé les cailloux à côté du but
yovo dokɔ elɔ syɛn ɖi hwan ɖohun,ce gâteau est dur comme un caillou
sɔ́ gbà tówé hɛ́n yi jĭ,emporte ta caisse à l'étage
adlà tɛ́ ká ɖíè,quelle calamité
un fìn calcul kpɔ́n,j'ai copié le calcul
e kpò ká n'í,il reste la calebasse pour lui on dit cela lorsque quelqu'un n'a pas fini de manger en même temps que les autres
ze ka elɔ bo yi gbo vi sin anɔ si ɖe mɛ n'i go,prends cette calebasse et emplis-la de lait de biche
etɛ wutu a ɖo hwi,pourquoi es-tu calme
kɛ́ɖɛ́góví wɛ̀,il est calme
sin ɔ cí cúɖúɖú,l'eau est calme
vì élɔ́ nyí tagbanɔ̀ ă,cet enfant est calme
xwé tówé xwɛ̀,ta maison est calme
e húhwɛ́ yĕ,il les a calmés
gbɔ̀,calme-toi
kú hŭn,calme-toi
nukún tɔ́n mɛ́ wá j'àyĭ,il s'est calmé
xovɛ́ húhwɛ́ dó wŭ tɔ̀n,sa faim s'est calmée
yè xwɛ́ tótó,ils se sont calmés tout à fait
mì nyí hă,nous sommes camarades
un na tɛnkpɔn bo xwegbatɔ enɛ ɔ na nɔ sinsɛn ɔ,je vais obliger ce cambrioleur à respecter la loi
bill ɖo xwe ɖo gleta,bill a une maison à la campagne
é yi gle gbè,il est dans la campagne
hwɛ kpo pie kpo mi ɖo gleta,pierre et toi vous êtes à la campagne
un xwe gleta,je vais à la campagne
mi yi mɛ jɔhɔn hwenu e wa yi ɔ,avez-vous campé l'été dernier
kpakpa tɔn lɛ,ses canards
un xò kpákpá ɔ́ gblá,j'ai manqué le canard
e hwe ɖ'é mɛ̀,il n'est pas capable
yè tiín gán ná se gbà ná,ils sont capables d'obéir
kokló ɖò kɛ́ lɛ́ wɛ̀,la poule caquette
ðó gbe ɖokpó ɔ́ é ɖó ná kú,car un jour il doit mourir
e ɖó jijɔ nyanya,il a mauvais caractère
é nylá kàn,il a mauvais caractère
jijɔ ce nɛ́,c'est mon caractère
jujɔ ce nɛ́,c'est mon caractère
jujɔɖagbenɔ̀,celui qui a bon caractère
mɔ̆ un jɔ̀,c'est mon caractère
é lílí alɔ kɔkú wú,il a caressé kokou
mi ɖo alɔ lili ɖo cuku ɔ wɛ,on caresse le chien
a jɛ alikpletɛn nukɔntɔn ɔ,tu avances vers le premier carrefour
acɛ sisi kpo jlokokonunɔ enɛ lɛ ɖo na xwedo su kpodo linlin to ee ɖo bu lɛ tɔn,ces droits et libertés ne pourront en aucun cas s'exercer contrairement aux buts et aux principes des nations unies
nu mɔ wɛ ɔ e na yi,si tel est le cas il partira
é ɖò xɔ̀ hɛ̀nnu,il est à la porte de la case
un ná yì goxɔ nu,j'irai dans la case du champ
xɔ towe d'àgbà,ta case est grande
anne ɖo avi ya wɛ yovovi tɔn fɛn,anne pleure sa poupée est cassée
e fɛ́n,c'est cassé
kɔ́fu ɔ gbá hánnyáhánnyá,le verre est cassé en miettes
alɔmajlɔnɔ ɔ gba zɛn ɖagbe ɖokpo,le maladroit a cassé un beau vase
badagla j'ayì ɔ́ gba jɛ́n nɔ́ gbà,si la fonte tombe elle se casse à coup sûr
bo nɔ wɛn awa lɛ,et casse les branches
é gbà gŏ cè bɔ̀ un byɔ́ xɔ ɔ é ɔ́ é húzú mɛglɛnzín,il a cassé mon ampoule et quand je suis rentré dans la maison il se présentait comme innocent dans l'affaire
e hɛ̀n kàn ɔ̀ wɛ́n,il a cassé la corde
fɛ́ca ce sín nùɖúká wɛ́n,le porte-appât de mon piège s'est cassé
go ɔ́ gbà cɛ̀n,la bouteille s'est cassée alors qu'elle était remplie
jɔhɔn nɔ wɛn atinla lɛ tɔn,le vent casse les branches des arbres
kan ɔ́ ɖo na wɛ́n wɛ̀,la corde va se casser
ma nyì mì ó un táá lɔ́ wŭ,ne me lance pas de peur que je ne me casse un membre
nu ji jɔhɔn ɖe ɔ jɔhɔn nɔ wɛn aw'atin lɛ tɔn,s'il y a une tempête le vent casse les branches des arbres
un wɛ́n afɔ̀,je me suis cassé une jambe
wɛn alɔ,casser le bras
hàn sísá ɖíè,voici un verrat castré
a tuùn nŭ è e nɔ wa ɖò katekízu ɔ́ à,sais-tu ce qu'on fait au catéchisme
etɛ́ a nɔ wá wà ɖò katekízu,que viens-tu faire au catéchisme
mawuxokplɔnvi lɛ se amisa ɔ,les catéchumènes ont entendu la messe
un nɔ ku dlɔ nyanya a,je ne fais pas de cauchemars
đó tónúmásè yètɔ́n wútú ɔ́,a cause de leur désobéissance
e sɔ́n wŭ wè,c'est à cause de toi
jì wɛ́ zɔ́n bɔ̀ un gbɔ hwenu,je suis en retard à cause de la pluie
un gbɔ ɔ nɔ zan ji nu azan we ɖo lɛnkpɔn ɖe wutu,j'ai dû rester deux jours au lit à cause d'un mauvais rhume
wù tówé wɛ́ sɔ́n,c'est à cause de toi
xó ɔ́ ɖó adohuhu,cette parole cause l'effroi
wă nɔ hwɛ̀ xá mì,viens faire la causette avec moi
ali nɔ yì tó tówé mɛ̀ ă,tu n'écoutes pas ce qu'on dit
awii enɛ ɔ,ce chat
awĭì wiwi dlɛlɛ ɖé wɛ̀,c'était un chat noir gros et long
cavi wɛ,c'est la clé
e ɖagbe,c'est bon
e lin ɖo fi wɛ a,c'est loin d'ici
élɔ́,ce
étɛ́ ká wɛ̀,qu'est-ce que c'est
kú d'ázɔ̆,merci pour ce que tu as fait
nabi wɛ,c'est combien
tókúkú ahɔn nyinyɔ ɔ́ wɛ̀,il n'écoute rien de ce que l'on dit
ali nɔ yì tó tówé mɛ̀ ă,tu n'écoutes pas ce qu'on dit
awii enɛ ɔ,ce chat
awĭì wiwi dlɛlɛ ɖé wɛ̀,c'était un chat noir gros et long
cavi wɛ,c'est la clé
e ɖagbe,c'est bon
e lin ɖo fi wɛ a,c'est loin d'ici
élɔ́,ce
étɛ́ ká wɛ̀,qu'est-ce que c'est
kú d'ázɔ̆,merci pour ce que tu as fait
nabi wɛ,c'est combien
tókúkú ahɔn nyinyɔ ɔ́ wɛ̀,il n'écoute rien de ce que l'on dit
ali nɔ yì tó tówé mɛ̀ ă,tu n'écoutes pas ce qu'on dit
awii enɛ ɔ,ce chat
awĭì wiwi dlɛlɛ ɖé wɛ̀,c'était un chat noir gros et long
cavi wɛ,c'est la clé
e ɖagbe,c'est bon
e lin ɖo fi wɛ a,c'est loin d'ici
élɔ́,ce
étɛ́ ká wɛ̀,qu'est-ce que c'est
kú d'ázɔ̆,merci pour ce que tu as fait
nabi wɛ,c'est combien
tókúkú ahɔn nyinyɔ ɔ́ wɛ̀,il n'écoute rien de ce que l'on dit
etɛ́ ká ɖiè,qu'est-ce donc que ceci
sin kàn dó nù élɔ́,attache ceci
e sín gojiblánú tɔ̀n,il a mis sa ceinture
a ɖò ná ɖɔ̀ mɔ̆ ă,tu ne dois pas dire cela
a tín ɖó ná ɖɔ̀ mɔ̆ ă,tu ne dois pas dire cela
a tuwùn lĕ e nɔ bló nù nɛ́ ɔ́ gbɔ́n é à - ɛɛn un tuwùn,sais-tu faire cela – oui
ani ka ɖíè,qu'est cela
é ɖò măwù'sí,dieu seul peut faire cela
e jɛ́ wè,cela te va bien
é jló mì,cela me plaît
e má mí gbɔ̀n mɔ̆ ă,je n'ai pas l'habitude de faire cela
e nyɔ́ wăn,cela sent bon
ée e mɔ̀ mɔ̆,lorsqu'il vit cela
étɛ́ nɛ́,qu'est-ce que cela
lèé cí é nɛ́,c'est comme cela
ma bló nù nɛ́ ɔ́ ó,ne fais pas cela
mɔ̌ wɛ̀ à cé,n'est-ce pas cela
mɔ̆ wɛ e jɔ̀,c'est comme cela qu'il est
nǔ mɔhun wɛ nú we,tu es comme cela
sɔ́ énɛ́ ɔ́ ɖó vò,mets cela de côté
towe jăwè nú wè,cela t'arrivera aussi
un nɔ wa gbɔ̀n mɔ̆ ă,je n'ai pas l'habitude de faire cela
un yí gbe ná ă,je n'accepte pas cela
gbɛtɔ́ nukúnɖéjí wɛ̀,c'est un homme célèbre
nyɛ ma tuwùn hwenu e nɔ ɖu xwe nɛ́ ɔ̀ nɛ́,moi je ne sais pas quand on célèbre cette fête
mɛ ɖe un yi wan nu ɔ,celle que j'aime
ye nyi nɔ towe tɔn lɛ a,ce ne sont pas celles de ta mère
kénú kpó hunnu kpán,ceux de kétou et ceux d'abomey tout le monde
mɛ è mi nɔ vɛ mi dó ɔ́ wɛ̀ un nyí ă,je ne suis pas celui que vous pensez
é gbà'fín d'áyĭ,il a répandu de la cendre par terre
e ɖo kanweko,il y en avait cent
kanweko,cent
kpɔwun tɛnwe ɖola we,cent quatre vingt cinq francs
un nɔ sà kanɖé yí kpɔ́wun kó,j'en vends quarante pour cinq cents francs
cica mɛ ɖagbe tɔn kpodo awajijɛ tɔn kpo ɔ wanyinyi wɛ,le centre de toute bonté et de toute joie est l'amour
hwecobɔ ye nɔ ɖi xɛsi nu ajo a,cependant ils ne craignent pas le vol
mi slɛ́ miɖéé togoɖò,rangez-vous en cercle
e kpɛ́n hú cyɔ́gbá,c'est plus lourd qu'un cercueil
a na yì nùwíwá énɛ́ ɔ́ dó mɛ́ à,iras-tu à cette cérémonie
é ɖó tɔ́ tɔ́n alisá,il a fait la cérémonie d'alisá pour son père
gbɛtɔ́ tobútobú ɖé wɛ́ wá nùwíwá tɔ́ cé tɔn dó mɛ̀,beaucoup de monde est venu à la cérémonie de mon père
nuwá'zán ɔ́ glín,la cérémonie a été ajournée
sakpatá dlɔ́ zăn,les gens de sakpatá font leur cérémonie nocturne
đo nyɛ mɛ ɖe bɔ ɖɔ xo din ɔ,c'est ce que certains me disent maintenant
mɛ ɖè lɛ́ yì xwé yètɔ́n gbè ɖò gleta,certains s'en allèrent à leur maison de campagne
mì nà wá flán xó ɖé lɛ́,nous discuterons de certaines choses entre nous
un wá fí din ɔ é lín kpɛɖé,je suis venu ici il y a un certain temps
vi ɖe lɛ,certains enfants
un na wá géé,je viendrai certainement
un yi flí wèmá cè,j'ai reçu mon certificat d'apprentissage
é ɖ'avi yá wɛ̀ hehè,il pleure sans cesse
nyaví ɛ́ ɖ'azɔ̀ wá wɛ magbokɔ̀,cet enfant travaille sans cesse
bɔ e na tuun ɖee e na blo gbɔn bo na ɖo nu enɛ ɔ te kpɛɖe ɔ,et il saura ce qu'il y aura à faire afin que cette chose cesse un peu
e gɔ̀n xó ɖɔ̀ ă,il n'a pas cessé de parler
gbɔ̀ xó ɖɔ̀,cesse de parler
gɔ̀n mɔ̀ bló,cesse de faire ainsi
jɔhɔn ɖ'alɔ tè,le vent a cessé
jĭ gbò,la pluie a cessé
ma sɔ́ bló ɖè ó,cesse de faire cela
nyɔ̀nú ɔ́ kpò vĭ,cette femme a cessé de faire des enfants
awo gbogbo ɖokpó wɛ́ nú nya ɛ́,cet homme est un grand devin
sin élɔ́ blú,cette eau est trouble
azɔ̀n ɖokpó ɖokpó,une fois chacun
mɛnúmɛnú wɛ́ nɔ́ nyɔ́ mɛ nukúnmɛ̀,a chacun son goût
un nɔ sà ɖokpó yí caki ɖokpó,je vends chacun 1000 francs
wu ku i,elle meurt de chagrin
e ɖò kíkɔ́yí wɛ̀,il a la chair de poule
azinkpo nukplɔnmɛtɔ tɔn,la chaise du professeur
tavo enɛ kpodo azinkpo afɔtɔn nukun ɖokpo,quatre tables et seize chaises
xɔ̀ ɔ̀ gblɔ́ dó mì,j'ai chaud dans cette chambre
asakpaɖa tɔn nɔ xo gan ă,ses cuisses ne battent pas la chamade
é ɖò xɔ ɔ́ mɛ̀,il est dans la chambre
mi ɖo xɔ mitɔn mɛ,nous sommes dans notre chambre
xɔ ɔ sin hɔn,la porte de la chambre
atín élɔ́ ɖò gle ɔ tɛ́ntín,cet arbre est au milieu du champ
e nɔ́ nɔ̀ gle tɔn ta,il vit dans son champ
fítɛ́ gle towe ka ɖè,où est ton champ
gbèhán sú gle élɔ́,ce champ est envahi par les herbes
lɛngbɔ ɔ ɖo wezunkan wɛ ɖo gle ɔ mɛ kpodo vi tɔn lɛ kpo,la chèvre est dans le champ avec ses petits
un xwè gle ce mɛ̀,je vais dans mon champ
xwékɔ̀ fí jɛ́n gle ce ɖé,c'est ici de la maison que se trouve mon champ
hunto ɖe lɛ ɖo wuwu wɛ ɖo atin ɖokpo ɖokpo sin afɔ,des champignons poussent au pied de chaque arbre
a ɖo ta nyinyɔ,tu en as de la chance
afɔ nyɔ́ nú mì,j'ai de la chance
afɔ̀ vɛ̌ mì,je n'ai pas de chance
e sángánná wè,tu as eu de la chance
mi ɖo ta ɖagbe,nous avons de la chance
sɔ́ afɔ ɖagbe,bonne chance
ta bɔ wè,tu as de la chance
ta ce kù,je n'ai pas de chance
ta towe nyɔ́ ă,tu n'as pas de chance
un ɖo ta ɖagbe ya,je n'ai pas de chance
ta towe kú,tu es mal chanceux
bó yí cɛ́ kwɛ́ élɔ́ nú mì,va me changer cet argent
é húzú ɖaxó,il a bien changé
e húzú jijɔ tɔn à,a-t-il changé
nyi wɛ na ɖyɔ mɛ ɖe lɛ,c'est moi qui changerai les gens
we ɔ ɖyɔ́ afɔ̀,la danse a changé de pas
ji hàn élɔ́ nú mì,chante-moi cette chanson
kokló ɖò así kɔ́ wɛ̀,au chant du coq
e ɖo han ɖokpo ji wɛ,il chante une chanson
hwenu ɖee sun wa ji ɔ xɛvi lɛ ɖo han ji wɛ,quand la lune fut levée les oiseaux chantèrent
kokló ɖò asi kɔ́ wɛ̀,le coq chante
mi ni ji han,que nous chantions
un nyɔ́ han jì ă,je ne sais pas chanter
xɛvi lɛ ɖo han ji wɛ hweninu,les oiseaux chantaient
ye ni ji han,qu'ils chantent
aza vaà,un chapeau large
nɔvi ce sin gbakun lɛ,les chapeaux de mon frère
afɔ ɖokpoɖokpo ɖo afɔvi atɔɔn,chaque pied a cinq orteils
awii ɖokpo ɖokpo,chaque chat
bó ná dó wà azɔ̀ élɔ́ n'í ná kpà mì ɔ́ tɛ́nwínlɛnwín tɔ́n wɛ̀ mì ɖò ná bló,pour que nous arrivions à bien faire ce travail il faut faire chaque tâche l'une après l'autre
e nɔ mɔ mi zanzan lɛ,elle me voit chaque matin
gbadanu tɛgbɛ ɔ noah tuun ɖɔ e nɔ cɛ emi,chaque soir noah savait qu'il était guetté
nɛ mi nɔ gosin dɔn gbɔn xwe ɖokpo ɖokpo mɛ,comment est-ce que vous descendez là-bas chaque année
xwe wú xwe wú,chaque année
zan mɛ tɛgbɛ ɖo sɛxwe,chaque nuit dans le ciel
é wi dúdú,c'est un noir de charbon
điɖá agban élɔ́ mì,aide-moi à mettre cette charge sur la tête
un ɖó agban cè àgbàgbáɖá,j'ai placé ma charge sur ma tête sans la tenir en la portant en équilibre
mì nà zé agban towe ɖó gŭdò,nous allons mettre ton chargement derrière
ma ɖìɖá wé à,veux-tu que je t'aide à charger ton fardeau
belgique sin axɔsu nyɔ ɖɛkpɛ tawun,le roi de belgique est un homme charmant
măga vɔnnyivɔnnyi wɛ̀,c'est une mangue très charnue
sɔ lɛ ɖo kɛkɛvi ɔ dɔn wɛ,les chevaux tirent la charrette
bo nɔ nya ye ɖo ali ji,et les chasse dans le chemin
gbè nyɔ́ à,la chasse a-t-elle été bonne
ye nɔ nya gbe,ils font la chasse
é s'áxi dó nyì azɔ̀n,il a pris des choses au marché pour aller chasser les maladies faire des sacrifices
jɔhɔn nya akpɔkpɔ,le nuage est chassé par le vent
gbenyatɔ lɛ,des chasseurs
gbe towe xlá,tu as un chat dans la gorge
vɛgómɛ́ cé xlá,j'ai un chat dans la gorge
é dó kolíkòlí nú mì,il m'a fait des chatouilles
é híhí wú nú mì,ça me chatouille
tɔ́n ɖo lan tɔn mɛ̀,il est chatouilleux
bia elɔ hun zo,cette bière est chaude
e hun zo,c'est chaud
hwezivɔ sin te cici trolo ɔ yozo nɔ jɛ ɖiɖe ji,dès le lever du soleil il se met à faire chaud
wɔxuxukpo ɔ hun zo,le four est chaud
yi wún sìn myɔɖòwú hɛ́n wá nú mì,apporte-moi de l'eau chaude
zozo ɖo hihɛn mi wɛ,j'ai chaud
zozo sɔ hɛn mi a,je n'ai plus chaud
é yì nakí bá gbé,il est allé chercher du bois de chauffage lorsqu'un jumeau est mort
đó wɔ̆ ado jí,fais chauffer la pâte
é hun myɔ̀,ça chauffe au propre et au figuré
nùsúnnú ɔ́ ɖo myɔ hun wɛ̀,la sauce chauffe
un na ɖó asádánnyídánnyí x'ɛ́,je vais lui montrer de quel bois je me chauffe
afɔgodwe ce lɛ hunzo ganji,mes chaussettes sont bien chaudes
afɔgwede ce,mes chaussettes
afɔkpa ɔ fɛ́ɖɛ́ kàn,la chaussure a des courroies fragiles
afɔkpa ɔ xá mì,la chaussure me serre
e mɔ́ ta,il a la tête chauve
ta tɔn sún,il est chauve
e sá adakpɛ́n dó xɔ̀ ɔ́,il a peint la maison à la chaux
tɔjihún flí xwè,le bateau a chaviré
é ɖù găn ɖò savì,il est chef à savi
é kp'acɛ dó to ɔ́,il est le chef du village
mɛ̀ wɛ́ ɖù găn ɖò fí,qui est le chef ici
mɛɖaxó élɔ́ ɔ́ kpà'cɛ̀ dó tò mìtɔ́n mɛ̀,ce monsieur est le chef de notre localité
to tɛ́ mɛ́ é ɖù găn ɖè,où est-il chef
yè hwlɛ́n găn,ils se disputent la chefferie
é ɖ'alɛxo ja,il vient sur le chemin
e dó gbló ali ɔ jí,on a élargi le chemin
