abă	bras
odjé	surprise incroyable
odjé	interjection détonnement
odjé	oh
haha agbako	mort de rire
haha agbavia	mort de rire
tcho eblawu	oh que cest triste
tcho eblawu	oh que cest déplorable
tcho eblawu	navrant
tcho adǎn gbomi	la poisse
tcho adǎn gbomi	je suis éprouvé
tcho adǎn gbomi	je suis éprouvée
tcho adǎn gbomi	quel malheur
mahu	dieu
mahu	noù de dieu
mahu é cáki mi	nom de dieu ça m'énerve
mahu é cáki mi	je suis hors de moi
mahu é cáki mi	je suis en colère
mahu é cáki mi	je suis énervé
mahu é cáki mi	je suis énervée
mahu é cáki mi	je suis fâché
mahu é cáki mi	je suis fâchée
rhor nami agbɔ	putain laisse-moi en paix
rhor nami agbɔ	colle-moi la paix
tadu ce djawe	je m-apprête à faire une crise de colère
tadu tɔ djawe	il s-apprête à faire une crise de colère
tadu tɔ djawe	elle s-apprête à faire une crise de colère
djika ɖé	que de la frime
nùkócé nɔn yìn	je m'appelle
un yìn wàn nouwé	je t'aime
uh fɔn gangji	je vais bien
un yìn wàn núwe	je t'aime
un ɖu lɔvu núwe	je t'aime
un ɖu lɔvu núwe	je t'aime
un ɖu lɔvu núwe	je t'apprécie
un ɖu lɔvu núwe	je t'adore
un yìn wàn núwé	je t'aime
un ɖu lɔvu núwé	je t'aime
un ɖu lɔvu núwé	je t'aime
un ɖu lɔvu núwé	je t'apprécie
un ɖu lɔvu núwé	je t'adore
un yìn wàn nouwé	je t'aime
un ɖu lɔvu nouwé	je t'aime
un ɖu lɔvu nouwé	je t'aime
un ɖu lɔvu nouwé	je t'apprécie
un ɖu lɔvu nouwé	je t'adore
rhor mahu	putain
rhor mahu	bon sang
rhor mahu	fais chier
rhor mahu	merde
rhor mahu	bordel
un ɖɔ nti ǎ	je n'ai rien dit
un sé nti ǎ	je n'ai rien entendu
un nti ǎ	je n'ai rien vu
é kpéto	c'est fort
é kpéto	du buzz
é kpéto	la puissance
é jɔ adǎn	c'est fort
é jɔ adǎn	du buzz
é jɔ adǎn	la puissance
towe ɖye	super
towe ɖye	superbe
towe ɖye	excellent
towe ɖye	tu es fort
towe ɖye	tu es forte
mitɔn ɖye	vous êtes forts
aɖanmacio	bravo
aɖanmacio	félicitations
agbɔnɔn	boss
agbɔnɔn	tu es puissant
agbɔnɔn	tu es puissante
agbɔnɔn	tu es fort
agbɔnɔn	tu es forte
éɖabɔ	au revoir
éɖabɔ	à plus
éɖabɔ	à tout à lheure
éɖabɔ	à bientôt
yinwɛ ɖo zo ɖu wɛ	c'est moi la chose
yinwɛ ɖo zo ɖu wɛ	c'est mon heure de gloire
éwlizo	c'est du boom
éwlizo	c'est chaud
é na cɛ núwe	merci
é na cɛ núwe	merci à toi
é na cɛ númi	merci à vous
un sí mɛxó	mes respects
é vɛ numi tawun	j'en suis vraiment choqué
é vɛ numi tawun	j'en suis vraiment choquée
é vɛ numi tawun	j'en suis vraiment énervé
é vɛ numi tawun	j'en suis vraiment énervée
é vɛ numi tawun	ça ma vraiment énervé
é maché ɖebu ǎ	ça ne marche pas du tout
é maché ɖebu ǎ	ce n'est pas okay
tchin é maché	cool
tchin é maché	ça marche
tchin é maché	c'est okay
tchin é maché	okay je valide
tchin é maché	j'approuve
nawunnawun tɛɛ	c'est doux mais je ne te donne pas
un ɖo awadjidjè mɛ	je suis en joie
un ɖo awadjidjè mɛ	je suis heureux
un ɖo awadjidjè mɛ	je suis heureuse
un ɖo awadjidjè mɛ	je suis content
un ɖo awadjidjè mɛ	je suis contente
boumin	quitte-là hein
boumin	dégage
haha vivi bi wɛ	c'est trop cool
bèlèloou	rire taquin
haha aɖɔgo ce	haha mon ventre
aɖumi tawun	tu es malade
agoo mǎ yii	je m'en vais
agoo mǎ yii	je passe
djo gué ce ɖo	laisse-moi courir
midjo gué ce ɖo	laissez-moi courir
haha avoun towe	haha connard va
hein	quoi
étɛkanyinɖémɛ	j'ai quoi à voir là-dedans
étɛkanyinɖémɛ	en quoi suis-je concerné
étɛkanyinɖémɛ	en quoi suis-je concernée
étɛkanyinɖémɛ	est-ce mon affaire
étɛkanyinɖémɛ	je n'en ai rien à foutre
un ɖu aɖi	je suis énervé
un ɖu aɖi	je suis énervée
un ɖu aɖi	je suis faché
un ɖu aɖi	je suis fachée
un ɖu aɖi	je suis en colère
awotcho	zut
awotcho	dommage
évɛwumɛ	c'est dur
évɛwumɛ	c'est difficile
axɔsi	reine
axɔsi	princesse
axɔsi	belle dame
axɔsu	roi
axɔsu	prince
axɔsu	charmant
axɔsu	bel homme
amiii	amen
axoadi	ainsi soitil
dagbédagbé	victoire
dagbédagbé	que du bien
un ɖi nu nà	j'aime bien
un ɖi nu nà	j'apprécie
un ɖi nu nà	ça me séduit
doo núwe	salut
doo núwe	bonjour à toi
doo núwe	bonsoir à toi
ago mǎ ɖu we	laisse-moi danser
un ɖo zomɛ	je suis soûlé
un ɖo zomɛ	je suis soûlée
un ɖo zomɛ	je suis ivre
tchintchin go tchin	trinquer
tchintchin go tchin	porter un toast
tchintchin go tchin	tchine-tchine
ví gblégblé	enfant gâté
ví gblégblé	voyou
allô mɛ wɛ	allô c'est qui
allô mɛ wɛ	allô qui cest
allô mɛ wɛ	allô à qui ai-je lhonneur
daho	grand voleur
daho	grande voleuse
foouunn	ça sent la merde
koyiii sɛ xo yi	laisse ton affaire tu exagères
koyiii sɛ xo yi	laisse ton affaire tu en fais trop
kuɖo jigbézǎn	joyeux anniversaire
dɛdɛ	doucement
dɛdɛ	ne te fâche pas
wignan xó	une affaire honteuse
wignan xó wè	c'est une affaire honteuse
cikɔyii	c'est la honte
essanglan nuwe	tu as la chance sinon
haha à houin dín	haha tu es trop drôle
haha à houin dín	haha tu es ridicule
adigban wɛ	c'est un mensonge
é nyɔn un ko sé	okay c'est entendu
é nyɔn un ko sé	okay j'ai compris
xɛsín ɖemɛ ǎ	il n'y a pas de crainte
un ɖéji	j'ai confiance
un ɖéji	je suis zen
un ba xó a	ne me cherche pas querelle
un ba xó a	attention ne me cherche pas
un ba xó a	je ne suis pas d'humeur à m'amuser
devoninmɛ	c'est étrange ça
wli bizu zozo elɔ	attrape ce bisou chaud
un ko	je me suis déjà tu
un ko	je me suis déjà tue
un ɖo gboya	j'ai de l'audace
gboya wɛ	c'est de l'audace
un siyin dín	je suis très fort
un siyin dín	je suis très forte
un siyin dín	je suis très courageux
un siyin dín	je suis très courageuse
adigban	mensonge
un ɖi ă	je ne crois pas
tà fin mi azonɖokpo	ça ma donné des maux de tête sur le champ
avoun loki	espèce de singe
ago ma fan ɖo	je prends la fuite en escaladant le mur
ago vounzin	je m'enfuis à vélo
nùnùɖù	nourriture
nùnùɖù vivi	nourriture délicieuse
sɔguilija ago ma yi bo wa	je prends la fuite à cheval
wa mi na yǐ kwín	viens quon se batte
ezanwé	tu te trompes largement
ezanwé	il t'a trompé largement
ezanwé	ils t'ont trompé largement
yɛyinon	tu es bête
adjagbalou	imbécile
kinklin	je m'excuse
sɔkɛmi	pardonnes-moi
mi sɔkɛmi	pardonnez-moi
eku yéé eku yaa	allez les ecureuils le onze national
mî gbla mi	j'ai envie de chier
mi na ɖu čaki kpowun wɛ	vous allez en souffrir mais vous ne pouvez rien faire
djah satani	arrière satan
djɛbɛtɛ	je bave
djɛbɛtɛ	je suis ébahi
djɛbɛtɛ	je suis ébahie
djɛbɛtɛ	je suis hébété
djɛbɛtɛ	je suis hébétée
amlɔn sami	j'ai sommeil
dotohoué	hôpital
yovotomɛ	europe
yovotomɛ	amériques
yovotomɛ	pacifique
yovotomɛ	asie
un gni	je suis
un ɖo	je suis à
aflika	africa
popovi jiji	originaire de popo
gléxwévi jiji	originaire de ouidah
agbomɛvi jiji	originaire dabomey
gbɔhikɔnvi jiji	originaire de bohicon
xɔgbonuvi jiji	originaire de portonovo
kalavivi jiji	originaire de calavi
akassatovi jiji	originaire dakassato
alladavi jiji	originaire dallada
tɔfɔvi jiji	originaire de toffo
agonlivi jiji	originaire dagonli
lokossavi jiji	originaire de lokossa
plakuvi jiji	originaire de parakou
djougouvi jiji	originaire de djougou
dassavi jiji	originaire de dassa
bantɛvi jiji	originaire de bantè
natitingouvi jiji	originaire de natitingou
dogbovi jiji	originaire de dogbo
saxwɛvi jiji	originaire de lethnie sahouè
péɖahvi jiji	originaire de lethnie xwéda
sèxwɛvi jiji	originaire de sèhouè
adjavi jiji	originaire dadja
comɛvi jiji	originaire de comé
dangbovi jiji	originaire de dangbo
zèvi jiji	originaire de zè
golovi jiji	originaire de glo
sakétévi jiji	originaire de sakété
kétouvi jiji	originaire de kétou
ifangnivi jiji	originaire difangni
kandivi jiji	originaire de kandi
tanguiétavi jiji	originaire de tanguiéta
bembèrèkèvi jiji	originaire de bembèrèkè
sôtchanxwévi jiji	originaire de sô tchanhoué
ganviévi jiji	originaire de ganvié
azovévi jiji	originaire dazové
agouévi jiji	originaire dagoué
hilacondjivi jiji	originaire de hilacondji
agonkanmɛvi jiji	originaire dagonkanmé
dekanmɛvi jiji	originaire de dékanmey
kpɔmasɛvi jiji	originaire de kpomassè
jiji	originaire de sègbohouè
guezinvi jiji	originaire de guézin
gogotinkponmɛvi jiji	originaire de gogotinkpon
tɔkpadomɛvi jiji	originaire de tokpadomey
drɛvi jiji	originaire de drè
jiji	originaire de sè
zinviévi jiji	originaire de zinvié
sowavavi jiji	originaire de sôavai
avlankuvi jiji	originaire davrankou
tangbovi jiji	originaire de tangbo
wawatavi jiji	originaire de wawata
hinvivi jiji	originaire de hinvi
čumičumivi jiji	originaire de tchoumi-tchoumi
kuwandévi jiji	originaire de kouandé
koblyvi jiji	originaire de cobly
bukumbevi jiji	originaire de boukoumbé
sɛgbanavi jiji	originaire de ségbana
zakpotavi jiji	originaire de zakpota
zanyanadovi jiji	originaire de zagnanado
savɛvi jiji	originaire de savè
kalimamavi jiji	originaire de karimama
un ɖo agla	je suis à agla
un ɖo misɛbɔ	je suis à missèbo
un ɖo godomɛ	je suis à godomey
un ɖo akpakpa	je suis à akpakpa
un ɖo sèkanji	je suis à sèkandji
un ɖo sèmɛ	je suis à sèmé
un ɖo toxo ɔ mɛ	je suis dans la ville
un ɖo gléta	je suis au village
un ɖo kalavi	je suis à abomeycalavi
un ɖo akassato	je suis à akassato
un ɖo kutɔnu	je suis à cotonou
un ɖo yovotomɛ	je suis en europe
un ɖo totaligbé	je suis dans le nordbénin
un ɖo kajɛhun	je suis à cadjèhoun
un ɖo	je suis à fidjrossè
un ɖo ganhito	je suis à ganhi
un ɖo tɔkpa	je suis à dantokpa
un ɖo	je suis à vèdoko
un ɖo aflika gbéji	je suis dans un pays de lafrique
un ɖo etoalu rlouju	je suis à la place de letoile rouge
un ɖo xuta	je suis à la plage
un ɖo kpahu	je suis à pahou
un ɖo tɛlin	je suis au terrain
un ɖo gbegamɛ	je suis à gbégamey
un ɖo kokotomɛ	je suis à cocotomey
un ɖo kokokɔji	je suis à cococodji
un ɖo banikani	je suis à banikani
un ɖo azomɛ	je suis au boulot
un ɖo houégbé	je suis à la maison
un ɖo houégbé	je suis chez moi
un ɖo dotohoué	je suis à l'hôpital
un ɖo dotohoué	je suis à la clinique
noix de coco	agonkɛ
igname	tévi
piment	takin
oeuf	azin
fɛnnyɛ	manioc
dotɛ	gingembre
févi	gombo
kókwé	banane
klé	citron
hweví	poisson
dégon	crevette
amǎgà	mangue
ayomà	oignon
timáti	tomate
nɔvi sunu	cher frère
nɔvi nyɔnu	chère soeur
mi ma fɔn ganji á	êtes-vous bien réveillés
mi ma fɔn ganji á	êtes-vous bien réveillées
mi ma fɔn ganji á	vous vous êtes bien réveillés
mi ma fɔn ganji á	vous vous êtes bien réveillées
a ma fɔn ganji á	es-tu bien réveillé
a ma fɔn ganji á	es-tu bien réveillée
a ma fɔn ganji á	tu es bien réveillé
a ma fɔn ganji á	tu es bien réveillée
a ma fɔn ganji á	tu tes bien réveillé
a ma fɔn ganji á	tu tes bien réveillée
afɔngănji ɑ	es-tu bien réveillé
afɔngănji ɑ	es-tu bien réveillée
afɔngănji ɑ	tu t'es bien réveillé
afɔngănji ɑ	tu t'es bien réveillée
mifɔngănji ɑ	êtes-vous bien réveillés
mifɔngănji ɑ	êtes-vous bien réveillées
mifɔngănji ɑ	vous vous êtes bien réveillés
mifɔngănji ɑ	vous vous êtes bien réveillées
un fɔn gănji	je me suis bien reveillé
un fɔn gănji	je me suis bien reveillée
mi fɔn gănji	nous nous sommes bien reveillés
mi fɔn gănji	nous nous sommes bien reveillées
mi kudo zanzan	bonjour
bo kudo zanzan	bonjour
mi kudo zanzan	recevez le bonjour
bo kudo zanzan	reçois le bonjour
kú do lé hwé nún	bon après-midi
mi kú do lé hwé nún	bon après-midi
kúdo gbáda	bonsoir
mi kúdo gbáda	bonsoir
kúdo gbáda	reçois le bonsoir
mi kúdo gbáda	reçevez le bonsoir
zanzan	matin
ganwéwé	midi
gbada	soir
gbadanu	soir
zan	nuit
azan	jour
sɛgblamɛ	semaine
aklunɔzanglamɛ	semaine
vodungbégblamɛ	semaine
sún	mois
súnzan	mois
xwé	année
xwé nú miɖé	nous sommes entrain de fêter
xwé nú miɖé	nous sommes entrain de célébrer
xwé nú miɖé	nous fêtons
xwé nú miɖé	nous célébrons
cɛju	minutes
cɛju	minute
nukunxwixwé	secondes
nukunxwixwé	seconde
gan	heure
gan	fer
sɔ é wayi	hier
sɔ é djawé	demain
sɔ	hier
sɔ	demain
egbé	aujourd'hui
tɛnigbé	lundi
taatagbé	mardi
azangagbé	mercredi
nyɔnuzanbgé	jeudi
axɔsuzangbé	vendredi
sibigbe	samedi
aklunɔzangbé	dimanche
vodungbé	dimanche
aluunsu	janvier
zofinkplɔsun	février
xwéjisun	mars
lidosun	avril
nuxwasun	mai
nukunxwasun	mai
ayidosu	juin
liyasun	juillet
avivɔsun	août
zosun	septembre
kɔnyasun	octobre
abɔxwisun	novembre
wosun	décembre
woosun	décembre
ta	tête
nu	bouche
atan	barbe
awa	bras
vɛgo	gorge
taka	cerveau
tamɛfɔn	cerveau
ɖa	cheveu
ɖa	cheveux
afɔgo	cheville
afɔgoli	cheville
wunda	cil
wundafun	cil
nɛgbéxu	colonne vertébrale
hunvɔvɔkan	artère
hunvɔvɔli	artère
agbaza	corps
ajajaxu	côte
kɔ	cou
awagoli	coude
taka	crâne
takago	crâne
ahɔnka	crâne
asa	cuisse
aɖu	dent
nɛngbé	dos
abɔ	épaule
abɔji	épaule
abɔta	épaule
adɔgo	estomac
adɔgbo	estomac
yonu	fesses
yonu ɖàxo	grosses fesses
yonu ɖàho	grosses fesses
adigoué	fesses
adigwé	fesses
adigoué gbohoun gbohoun	grosses fesses
adigwé gbohoun gbohoun	grosses fesses
alin	foie
nukɔn	front
koli	genou
koligo	genou
alinmɛ	hanche
logomɛ	hanche
adɔkan	intestin
adɔvi	intestin
afɔ	jambe
asa	jambe
alaka	joue
klɛn	joue
ɖɛ	langue
avi	larme
ɖasin	larme
nuflo	lèvre
aglan	mâchoire
aglanka	mâchoire
alɔ	main
gbakɔ	menton
gbakwɛ	menton
awɔnnufu	moustache
awɔnnuta	moustache
kan	muscle
awɔntinli	narine
awɔntinsomɛ	narine
taglomɛkan	nerf
awɔntin	nez
hɔnvi	nombril
hɔn	nombril
tagudo	nuque
zogudo	nuque
nukun	oeuil
fɛnvị	ongle
fɛn	ongle
afɔkpɑkpa	paume de pied
to	oreille
alɔvi	doigt
afɔvi	orteil
xú	os
nukunflo	paupière
nukunflo	paupières
anyu	peau
afɔ	pied
alɔgo	poignet
alɔkwɛ	poignet
akpodokwin	poing
akodokwin	poing
akɔnta	poitrine
akɔn	poitrine
alɔsu	pouce
fijo	poumon
fejo	poumon
fojo	poumon
alinmɛ	rein
alin	rein
mami	ride
atan	salive
hunsin	sang
anɔ	sein
wunda	sourcil
xugloxu	squelette
xukplakpla	squelette
dɛn	sueur
afɔgbɛnnu	talon
hunli	veine
lanmɛkan	veine
lanmɛkankpɛvi	veine
adɔgo	ventre
nukunmɛ	visage
zɑkɛtɛ	gabari
kanlin	animal
wiin	abeille
lɛngbɔvi	agneau
hɔn	aigle
sɔ kɛtɛkɛtɛ	âne
yɛ	ombre
yɛglétété	araignée
xuhwévi ɖaxo	baleine
xumɛhwevi ɖaxo	baleine
kpakpa	canard
lakunmi	châmeau
awii	chat
ase	chat
sɔ glija	cheval
sɔ glidja	cheval
gbɔ	chèvre
avun	chien
cuku	chien
agluza	cochon
agluza	porc
koklosu	coq
agasa	crabe terrestre
asɔn	crabe marrin
aglobésé	crapaud
lo	crocodile
ahunhwin	dauphin
agbe	écureuil
awasagbé	écureuil
ajinaku	éléphant
gwin	gros escargot
akwete	petit escargot
azinzɛn	fourmie
zinzɛn	fourmie
la	girafe
hagbaka	gorille
bésé	grenouille
gbɔnvɛ	guêpe
gbɔnvɛn	guêpe
ajijakuzɛn	hérisson
azexɛ	hibou
klwele	hibou
ɖɛgbo	hippopotame
azɔnxɛ	hirondelle
nuɖogbɛ winniwinni	insecte
kpɔ	léopard
gbekpɔ	léopard
jɔgle	libellule
azwi	lapin
azwigbemɛtɔn	lièvre
kinikini	lion
sukpɔ	mouche
zansukpɛ	moustique
amu	moustique
gbɔ	mouton
lɛngbɔ	mouton
xɛvi	oiseau
xɛ	oiseau
awaɖakpɛkpɛ	papillon
awɛwɛ	papillon
kɛsɛ	perroquet
cakoo	perroquet
cukpa	perroquet
ahwannɛ	pigeon
ahwannɛxɛ	pigeon
hwevi	poisson
koklosi	poule
kpaxɔ	puce
acu	rat
afin	souris
gbowelé	requin
asan	sangsue
bɔklé	sauterelle
bɔsaklé	sauterelle
dan	serpent
ató	singe
ato	singe
zinwo	singe
lumɔ	taupe
logozo	tortue
nyibu	vache
nyibuvi	veau
jɔhɔn	air
atin	arbre
akwɛ	argent
atin	bois
kpo	bois
kpo	bâton
atinla	branche
yozo	chaleur
zozo	chaleur
jixwé	cieux
jixwé	ciel
xu	mer
xuta	côte
xuto	plage
gbexloxlo	désert
axekoji	désert
sin	eau
sunvi	étoile
zo	fer
ama	feuille
flowa	fleur
tɔ	fleuve
tɔsisa	fleuve
zun	forêt
avivɔ	froid
azizɔ	fumée
glasi	glace
gbéhan	herbe
gbé	herbe
tɔlɛdayikungban	île
singbamɛ	innondation
tɔɖisin	innondation
tɔ	lac
tɔgwédé	lac
weziza	paix
weziza	lumière
sún	lune
wɛkɛ	terre
gbè ɔ	monde
gbè	vie
so	montagne
so	montagnes
sokanmɛ	montagne
sokanmɛ	montagnes
jɔfun wewe	neige
akpɔkpɔ	nuage
sika	or
weman	papier
pierre	awinnya
atinvu	plante
ji	pluie
afuntuntun	poussière
ɖɔ	racine
sowinya	rocher
kɔ	sable
hwe	soleil
jɔhɔn syɛnsyɛn	tempête
ayi	terre
ayikungban	terre
jɔhɔn	vent
kɔfu	verre
bénɛnví sunù	citoyen béninois
bénɛnví	citoyenne béninoise
tó ɖé sé hùn ní ɖɔ nù tó ɖé	que l'oreille qui entende dise à l'autre oreille
wéwé	blanc
fɛsin	bleu
koklojo	jaune
koklojonɔ	jaune
wiwi	noir
vɔvɔ	rouge
amamu	vert
taligbé	nord
afɔligbé	sud
hwefɔntɛn	est
hwetintɔnji	est
gbadahwéji	ouest
hweyixɔtɛn	ouest
keze ɔ mɛ ni nyɔ nu mibi sese	que la journée vous soit belle
keze ɔ mɛ ni nyɔ nu mibi sese	bonne journée
keze ɔ mɛ ni nyɔ nu mibi sese	passez une bonne journée
keze ɔ mɛ ni nyɔ nu mibi sese	passez une belle journée
keze ɔ mɛ ni nyɔ nu wé sese	que la journée te soit belle
keze ɔ mɛ ni nyɔ nu wé sese	bonne journée
keze ɔ mɛ ni nyɔ nu wé sese	passes une bonne journée
keze ɔ mɛ ni nyɔ nu wé sese	passes une belle journée
un tuwun ɖɔ wamamɔnɔ wε nyi	je sais que tu es pauvre
ayi aximε wε à	es-tu allé au marché
azɔ ganxixo enε ɔ bi wε à	travaillé tempslà
awa fi ɖokpo à	es-tu venu ici une fois
miwa fi ɖokpo à	êtes-vous venus ici une fois
ɖaxo nu nyɔnu lε bi	la femme ainée
sεn	la loi
xo ɔ ɖi	la parole a eu effet
a xɔ kpεɖe à	as-tu acheté peu
mi xɔ kpεɖe à	avez-vous acheté peu
a xɔ wema wε à	as-tu acheté des livres
mi xɔ wema wε à	avez-vous achetés des livres
a yi gbe à	le permets-tu
yi kutɔnu bo yi bà atinkεn	vas à cotonou chercher des médicaments
a yìn wàn númi à	est-ce que tu m'aimes
mi yìn wàn númi à	est-ce que vous m'aimez
mεslεtɔ	traitre
a ze mi mɔ mεslεtɔ abi	tu me prends pour un traître n'est-ce pas
ze nuxixawema towe	prends ton livre
kutɔnu	cotonou
azan nabi ɖie mi yi kutɔnu	nous avons visité cotonou il y a quelques jours
aɖi ɖɔ é nan lɛ kɔ wà a	penses-tu qu'il va revenir
amanga	mangues
a ɖo awu towe hεn kwiji wε	tu salis ton habit
ɖo azin xɔ wε	achètes des oeufs
ɖo azɔn gbɔ nε wε	sois en train de le guérir
a ɖo dictionnaire zan wε à	es-tu en train d'utuliser le dictionnaire
a ɖo gege à	as-tu assez
hwε to wé jɔ	tu as raison
a ɖo hwεjijɔ	tu as eu justice
jiɖiɖe	confiance
a ɖo jiɖiɖe ɖo wutu tɔn à	est-ce que tu lui fais confiance
a ɖo jiɖiɖe ɖo wutu cé à	est-ce que tu me fais confiance
nu kafe	bois du café
ɖo kwin wε	joues aux billes
za kɔhota	balaies la cour
yi za kɔhota	vas balayer la cour
aɖo nà xwe ɖo nukplɔnmε lε	tu devrais suivre les recommendations
aɖo ɖan su axɔ	tu dois payer la dette
aɖo ɖan su axɔ cé	tu dois me payer ma dette
aɖo nan yi glεnsi tomε xwe lε bi ɔ	tu dois être en angleterre tous les ans
aɖo ɖan ɖɔ	tu dois raconter
aɖo ɖan ɖɔ númi	tu dois me raconter
nugbo	vérité
nugbo wè	c'est la vérité
nugbo wè	c'est vrai
aɖo nugbo ɖɔ wε	tu dis la vérité
nukpakpa	les environs
aɖo nugbo ɖɔ wε a	tu ne dis pas la vérité
aɖo nukpakpa gbɔn wε	tu rôdes dans les environs
nuwlannu towe lε wε	ce sont tes affaires
sukpɔ	la mouche
wli sukpɔ ɔ	attrapes la mouche
ɖo sukpɔ ɔ wli wε	sois en train d'attraper la mouche
ɖo ɖagbe kεlε yi wε	beaucoup de bonnes choses à toi
aɖo wezunkinkan kpoɖo hun kpo wε	tu conduis trop vite avec l'engin
xɔntɔn	ami
xɔntɔn	amie
xɔntɔn	amis
xɔntɔn	amies
xɔntɔn lε	les amis
xɔntɔn lε	les amies
ahwannε	les pigeons
ahannumunɔ wε nyi	c'est un alcoolique
ahwanfuntɔ lε xwe ɖo mε lε gɔn	les soldats sont logés chez les habitants
ahwannε lε nɔ adɔ yetɔn ɖo mε	les pigeons nichent dans les trous des murs
ajaka	rat
ajaka lε	les rats
kponɔ lε	les gendarmes
ajaka lε nɔ nɔ kɔ glɔε	les rats vivent sous la terre
ajinaku tà afɔ logozo ɖokpo ji	l'éléphant a piétiné une tortue
ajotɔ ɔ kpodo cuku tɔn kpo ɖo zɔzɔ gbɔn kponɔ lε wε	le voleur et son chien se méfient des gendarmes
akaju	noix de cajou
akwε nabi wε a nɔ ɖu ɖo sùn ɖokpo mε	quel salaire reçois-tu par mois
akɔ towe ɖo gangi à	est-ce que ta famille va bien
akɔnkpinkpan	courage
akɔnta	la poitrine
akɔnkpinkpan wanyinyi kpodo nunamε kpo nyi biba	recevez le courage  l'amour et la générosité sont des valeurs rares à cultiver
akɔnta wε nyi ɖaxo wutu mitɔn tɔn	la poitrine est la partie principale du corps
ali lε gɔ	les routes sont inondées
ali nukɔnnukɔntɔn kutɔnu tɔn lε	les premières routes de cotonou
wegɔ	deuxième
ali wegɔ ɔ aɖisimε	la deuxième voie à droite
ali ɔ dwiin gblεlε	la voie est très longue
xwe ɔ gbe	dans la maison
é ɖo xwe ɔ gbe	il est dans la maison
é ɖo xwe gbe	il est à la maison
a nɔ mɔ nu ganji ă	vois-tu bien
é ɖo alɔ zinzin ɖo kpo ji	il s'appuie sur une canne
alɔ ɖo ɖuɖu wε	il a mal à la main
zεn	marmite
ɖagbe	bonne
ɖagbe	bon
ɖokpo	un
ɖokpo	une
alɔtrɔ	le lézard
hwan lε	les pierres
alɔmajlɔnɔ to wé ɔ gba zεn ɖagbe ɖokpo	ta maladresse a cassé une bonne marmite
alɔnuzɔwatɔ wε nyi tɔ towe à	ton père est-il un ouvrier
alɔnuzɔwatɔ wε nyi tɔ towe	ton père est un ouvrier
alɔtrɔ ɔ hwla ɖo hwan lε mε	le lézard s'est caché entre les pierres
amanga lε mya ganji nyi ɖuɖu ă	les mangues ne sont pas assez mûres pour être consommées
aɖo ɖagbe ɖe wε	tu dégages une bonne odeur
vεgomε	la gorge
amasin zozo ɔ nɔ mε vεgomε	la tisanne trop chaude brûle la gorge
mεhuhu	le terrorisme
amerika ganhwεndoto	l gouvernement americain
amerika ganhwεndoto lε ze gbe ɖɔ gɔ adan nutitɔ su kun mεhuhu ɔ mε	le gouvernement américain décidé d'amplifier lutte contre le terrorisme
gleta	village
amisa ɖo gleta towe mε à	il y a-t'il une église dans ton village
amisa ɖo gleta towe mε	il y a une église dans ton village
amisa ɖo toxo towe mε	il y une église dans ta ville
amisa ɖo toxo towe mε à	il y a-t'il une église dans ta ville
amlɔ ɖo sisa mi wε	j'ai sommeil
amlɔ ɖo sisa mi wε	nous avons sommeil
amɔ ɖa nu kafe	mais je boirai du café
ali nɔ ɖo dindin wε zanzan	le traffic est fluide les matin
belijik nyɔ hu	je préfère la belgique
dotoo	docteur
un yi dotoo	je suis un docteur
é ko tuwun xo ɖɔ ganji	il sait déjà très bien parler
tagba	les problèmes
togbè	boss
tôgbè	boss
blewun blewun	très rapidement
blewun	rapidement
é nɔ mnɔ tagba blewun blewun	il a souvent des problèmes assez rapidement
azɔ lε nɔ ci kɔ	les travaux sont épuisants
amɔ fitε é gbɔn tahun	mais où est-il donc vraiment passé
amɔ fitε é ka gbɔn tahun	mais où est-il donc vraiment passé
jɔhɔnmεhun	l'avion
tεnnε mε	à neuf heures
jɔhɔnmεhun nɔn yi ɖo gan tεnnε mε zanzan	l'avion partira à neuf heures du matin
tɔ kpodo nɔ kpo ɖo xèsi ɖi wε	le père et la mère ont peurs
tɔsisa	la rivière
éɖo avi ya wε	elle pleure
éɖo avi ya wε	il pleure
yéɖo avi ya wε	ils pleurent
yéɖo avi ya wε	elles pleurent
atin gege ɖo bεnεε toxo lε mε	il y a beaucoup d'arbres dans les villes béninoises
atingbotɔ	le bûcheron
atingbotɔ ɔ ɖo goxɔ gba wε	le bûcheron construit une hutte
atinsinsεn enε ɔ jε nεgbe ajinaku ɖokpo	l'arbre est tombé sur un éléphant
azinkpo mitɔn yɔyɔ lε ɖo finε	nos nouveaux meubles sont là
azinkpoblotɔ wε nyi	c'est un menusier
azinkposatɔ wε nyi	il est un marchand de meubles
azinkposatɔ wε nyi	c'est un marchand de meubles
azinzɔnnɔ ɔ hwla ɖo zan gwlε	le malade s'est caché sous le lit
azinzɔnnɔ ɔ mɔ nuti ɖu gbadanu elɔ	le malade n'a rien eu à manger ce soir
azinzɔnnɔ ɔ mɔ nuɖuɖu zanzan elɔ	le malade n'a rien trouvé à manger ce matin
kokwe	banane
kokwe mymian	une banane mûre
azinzɔnnɔ ɔ ɖo kokwe ɖokpo ɖu wε	le malade est en train de manger une banane
azinzɔnnɔ ɔ ɖo sεn wε kpodo jivi kpo	le malade avec couteau
azinzɔnnɔ ɔ ɖo amasin nu wε	le malade boit la tisanne
azinzɔnnɔ ɔ ɖo amasin vεsεvεsε nu wε	le malade boit un médicament amère
